,canon_smi,pX,source,is_train
44,CC(=O)N1CCc2[nH]nc(Nc3cccc(C)c3)c2C1,4.698970004336019,reaxys,True
45,CC(=O)N1CCc2[nH]nc(Nc3cccc(F)c3)c2C1,4.698970004336019,reaxys,True
46,CC(=O)N1CCc2[nH]nc(Nc3cccc(OC(F)F)c3)c2C1,4.698970004336019,reaxys,True
47,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,4.4604093769761874,reaxys,True
48,CC(=O)N1CCc2[nH]nc(Nc3ccccc3C)c2C1,4.698970004336019,reaxys,True
49,CC(=O)N1CCc2[nH]nc(Nc3ccccc3F)c2C1,4.698970004336019,reaxys,True
50,CC(=O)N1CCc2c(c(-c3c[nH]c4ccccc34)nn2C2CCOCC2)C1,4.958607314841775,reaxys,True
51,CC(=O)N1CCc2c(c(-c3cccc4[nH]ccc34)nn2C2CCOCC2)C1,5.327902142064283,reaxys,True
52,CC(=O)N1CCc2c(c(-c3cccc4c3CC(=O)NC4)nn2C2CCOCC2)C1,4.698970004336019,reaxys,True
53,CC(=O)N1CCc2c(c(-c3cccc4c[nH]c(=O)cc34)nn2C2CCOCC2)C1,4.698970004336019,reaxys,True
54,CC(=O)N1CCc2c(c(-c3cccc4ccncc34)nn2C2CCOCC2)C1,4.853871964321762,reaxys,True
55,CC(=O)N1CCc2c(c(-c3ccnc4ccccc34)nn2C2CCOCC2)C1,4.853871964321762,reaxys,True
56,CC(=O)N1CCc2c(c(-c3cncc4ccccc34)nn2C2CCOCC2)C1,4.698970004336019,reaxys,True
57,CC(=O)N1CCc2c(c(-c3nccc4ccccc34)nn2C2CCOCC2)C1,4.698970004336019,reaxys,True
58,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,5.372634143407267,reaxys,True
59,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2C)C1,5.036212172654444,reaxys,True
60,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2C2COC2)C1,4.958607314841775,reaxys,True
61,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3)nn2CC2CC2)C1,5.1938200260161125,reaxys,True
